neuron_index,beta_state0,beta_state1,beta_state2,max_state,max_abs_beta,group
0,-0.097054998,0.218642632,-0.121587634,1,0.218642632,weak
1,-0.049845353,-0.19513441,0.244979763,2,0.244979763,weak
2,-0.191538916,-0.63213199,0.823670906,2,0.823670906,state2_pos
3,0.244288939,0.514063585,-0.758352524,2,0.758352524,state2_neg
4,-0.189394694,0.245233688,-0.055838994,1,0.245233688,weak
5,0.108200425,0.643810389,-0.752010814,2,0.752010814,state2_neg
6,-0.047821198,0.375839327,-0.32801813,1,0.375839327,mixed
7,0.057677927,0.477365228,-0.535043155,2,0.535043155,mixed
8,-0.002310475,0.023629658,-0.021319183,1,0.023629658,weak
9,-0.034037633,0.373990674,-0.33995304,1,0.373990674,mixed
10,0.387771206,-0.835284416,0.44751321,1,0.835284416,state1_neg
11,-0.44103416,0.528130983,-0.087096823,1,0.528130983,mixed
12,-0.246640534,-0.386179459,0.632819993,2,0.632819993,state2_pos
13,0.033752739,-0.128141203,0.094388464,1,0.128141203,weak
14,-0.20395583,0.221546786,-0.017590955,1,0.221546786,weak
15,0.164242606,-0.337791203,0.173548597,1,0.337791203,state1_neg
16,-0.112162854,0.011005225,0.101157628,0,0.112162854,weak
17,-0.301771563,-0.154258593,0.456030156,2,0.456030156,state2_pos
18,-0.011822303,0.034004685,-0.022182382,1,0.034004685,weak
19,-0.044130752,-0.272833997,0.316964749,2,0.316964749,mixed
20,0.082438579,0.097467727,-0.179906305,2,0.179906305,weak
21,0.057160778,-0.229093101,0.171932323,1,0.229093101,weak
22,0.127803008,0.022717659,-0.150520668,2,0.150520668,weak
23,0.17413841,-0.132005014,-0.042133396,0,0.17413841,weak
24,-0.388206156,0.610415179,-0.222209023,1,0.610415179,state1_pos
25,0.12648279,-0.492218499,0.365735709,1,0.492218499,state1_neg
26,0.166806356,-0.022454738,-0.144351618,0,0.166806356,weak
27,-0.113781477,-0.151510743,0.265292221,2,0.265292221,weak
28,-0.009235111,0.161923594,-0.152688484,1,0.161923594,weak
29,0.116346934,-0.214341026,0.097994092,1,0.214341026,weak
30,0.178834023,-0.976399054,0.797565031,1,0.976399054,state1_neg
31,0.204777821,-0.478699484,0.273921663,1,0.478699484,state1_neg
32,-0.100251799,0.528873369,-0.428621571,1,0.528873369,state1_pos
33,-0.21013968,-0.26284014,0.47297982,2,0.47297982,state2_pos
34,0.370952229,-0.038562004,-0.332390225,0,0.370952229,mixed
35,-0.124579909,0.493364632,-0.368784723,1,0.493364632,state1_pos
36,0.093722284,-0.56640027,0.472677986,1,0.56640027,mixed
37,-0.075908975,-0.152285767,0.228194742,2,0.228194742,weak
38,0.173030616,-0.209610263,0.036579647,1,0.209610263,weak
39,-0.087884956,0.0754143,0.012470656,0,0.087884956,weak
40,-0.102665292,0.024358663,0.078306628,0,0.102665292,weak
41,-0.242816854,0.404839034,-0.16202218,1,0.404839034,state1_pos
42,-0.035116071,-0.183363464,0.218479535,2,0.218479535,weak
43,-0.133274461,-0.148267811,0.281542272,2,0.281542272,weak
44,0.255733566,-0.696737441,0.441003874,1,0.696737441,state1_neg
45,0.004084465,-0.014387357,0.010302892,1,0.014387357,weak
46,-0.115801601,0.284705825,-0.168904224,1,0.284705825,weak
47,0.252714049,-0.144058665,-0.108655384,0,0.252714049,weak
48,0.040525803,-0.027917458,-0.012608346,0,0.040525803,weak
49,-0.141794633,-0.129518761,0.271313394,2,0.271313394,weak
50,-0.426174166,0.568180579,-0.142006413,1,0.568180579,state1_pos
51,-0.263175573,-0.172889997,0.43606557,2,0.43606557,state2_pos
52,-0.121865088,-0.196765845,0.318630934,2,0.318630934,state2_pos
53,0.000938078,0.302600423,-0.303538501,2,0.303538501,mixed
54,0.392086552,0.022819143,-0.414905695,2,0.414905695,mixed
55,-0.019820441,-0.043499929,0.06332037,2,0.06332037,weak
56,0.092277935,0.178394973,-0.270672908,2,0.270672908,weak
57,-0.095680934,-0.496020229,0.591701163,2,0.591701163,mixed
58,0.069905116,-0.298222774,0.228317658,1,0.298222774,weak
59,-0.034123292,0.222398037,-0.188274745,1,0.222398037,weak
60,-0.217695269,0.079602697,0.138092572,0,0.217695269,weak
61,0.34872665,-0.083516603,-0.265210047,0,0.34872665,mixed
62,-0.059056206,-0.579302012,0.638358218,2,0.638358218,mixed
63,0.145314061,0.203997733,-0.349311794,2,0.349311794,state2_neg
64,-0.034849047,-0.883676005,0.918525052,2,0.918525052,mixed
65,-0.143175324,-0.200582016,0.34375734,2,0.34375734,state2_pos
66,-0.169149824,0.142310894,0.02683893,0,0.169149824,weak
67,0.168380837,0.29659262,-0.464973457,2,0.464973457,state2_neg
68,-0.12537425,0.072357505,0.053016745,0,0.12537425,weak
69,-0.095592078,0.737487193,-0.641895114,1,0.737487193,mixed
70,0.030521541,0.257381421,-0.287902961,2,0.287902961,weak
71,-0.013620779,-0.067136472,0.080757252,2,0.080757252,weak
72,0.203048392,0.125352095,-0.328400487,2,0.328400487,state2_neg
73,0.027698375,-0.087454812,0.059756437,1,0.087454812,weak
