rank,neuron_index,beta_motor,abs_beta
1,82,-1.58022543,1.58022543
2,112,1.41359880,1.41359880
3,64,1.38340265,1.38340265
4,30,1.27465195,1.27465195
5,121,1.20102512,1.20102512
6,2,1.07306633,1.07306633
7,10,0.99475732,0.99475732
8,74,-0.95676494,0.95676494
9,57,0.90977736,0.90977736
10,3,-0.90752085,0.90752085
11,5,-0.90552537,0.90552537
12,62,0.88905330,0.88905330
13,122,-0.88790599,0.88790599
14,7,-0.87259484,0.87259484
15,69,-0.85819308,0.85819308
16,12,0.84955201,0.84955201
17,44,0.82988708,0.82988708
18,113,-0.80802689,0.80802689
19,89,0.80198206,0.80198206
20,107,-0.77544756,0.77544756
21,36,0.76343134,0.76343134
22,33,0.74181092,0.74181092
23,35,-0.68319798,0.68319798
24,67,-0.65051939,0.65051939
25,116,0.64369083,0.64369083
26,51,0.60046545,0.60046545
27,32,-0.59996026,0.59996026
28,65,0.58706102,0.58706102
29,80,-0.57661496,0.57661496
30,104,0.57046356,0.57046356
31,11,-0.55845985,0.55845985
32,31,0.55645813,0.55645813
33,106,-0.55323587,0.55323587
34,24,-0.55311716,0.55311716
35,17,0.55097634,0.55097634
36,25,0.52960246,0.52960246
37,105,-0.51479896,0.51479896
38,119,0.49231961,0.49231961
39,9,-0.49218593,0.49218593
40,54,-0.48805044,0.48805044
41,79,0.48406190,0.48406190
42,63,-0.47402804,0.47402804
43,53,-0.47031556,0.47031556
44,6,-0.46070082,0.46070082
45,72,-0.45604359,0.45604359
46,58,0.45075062,0.45075062
47,95,-0.45060783,0.45060783
48,91,0.44763547,0.44763547
49,103,0.44548490,0.44548490
50,41,-0.44043525,0.44043525
51,100,0.44042013,0.44042013
52,52,0.43034753,0.43034753
53,86,-0.42904162,0.42904162
54,50,-0.42802652,0.42802652
55,93,0.41293384,0.41293384
56,70,-0.40996580,0.40996580
57,77,0.40911351,0.40911351
58,124,-0.40702585,0.40702585
59,88,-0.40277733,0.40277733
60,43,0.39543500,0.39543500
61,87,0.38510582,0.38510582
62,84,0.37598464,0.37598464
63,49,0.37104226,0.37104226
64,110,-0.36655289,0.36655289
65,19,0.35118141,0.35118141
66,0,-0.32889398,0.32889398
67,37,0.32694894,0.32694894
68,98,-0.32373836,0.32373836
69,75,0.31063389,0.31063389
70,59,-0.30010206,0.30010206
71,34,-0.29684914,0.29684914
72,46,-0.29154582,0.29154582
73,56,-0.28722975,0.28722975
74,15,0.28405751,0.28405751
75,97,-0.27068504,0.27068504
76,14,-0.26539189,0.26539189
77,111,-0.26257318,0.26257318
78,115,0.25772788,0.25772788
79,90,0.25505523,0.25505523
80,83,0.25134641,0.25134641
